"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
134,17,9,12,1,3,1,-3,547,478,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
135,14,9,12,1,3,1,-3,481,498,703,1,6350,2,15,1,100000,1337500,50,4,201000,0,1,1,0
136,21,-2,12,5,3,2,-5,352,398,-4,1,-4,-4,-4,0,0,2480,-2,1,-2,-3,1,0,0
137,17,13,16,5,3,2,0,633,548,908,2,10,3,1000,1,199000,780000,10,2,289000,0,1,1,1
138,16,14,16,5,3,2,0,591,567,1226,4,620,2,25,1,19500,1624000,10,2,280000,0,1,1,1
139,15,16,16,1,3,1,0,543,599,502,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
140,20,15,12,5,3,2,-3,516,593,801,4,2330,1,18,1,80000,1168500,40,5,220400,0,1,1,1
141,16,12,16,5,3,2,0,583,641,1102,3,120,2,15,1,71000,254200,0,2,144050,0,1,1,1
142,19,9,10,1,3,1,0,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
143,17,10,10,5,3,2,0,541,586,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
144,14,9,10,5,3,2,0,493,475,-4,1,5620,-2,100,1,24000,136400,10,3,38640,0,1,1,1
145,16,12,12,1,3,1,0,510,557,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
146,15,12,12,1,3,1,0,666,647,910,1,1000,2,700,0,110000,52500,40,4,110050,0,3,3,1
147,17,10,12,5,3,2,-3,420,457,514,1,5860,5,2,1,15600,-3,50,3,190600,0,1,1,1
148,16,12,12,1,3,1,0,560,560,-4,1,4700,2,36,1,48000,345400,0,1,48000,0,1,0,1
149,15,11,12,5,3,2,0,494,467,-4,1,1000,2,1,1,144000,500000,20,3,223500,0,1,1,1
150,19,12,14,1,3,1,0,455,552,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
151,21,12,12,5,3,2,0,455,441,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
152,17,12,12,5,3,2,0,658,590,506,1,1000,3,3000,0,48594,1099883,25,2,89594,0,4,1,1
153,16,12,13,5,3,2,-5,-4,-4,-5,1,-4,-4,-4,0,0,82100,100,2,75036,0,1,1,1
154,14,12,12,5,3,2,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,15,12,12,1,3,1,0,472,544,-4,1,7210,4,-4,0,0,-199958,95,2,24000,0,1,3,1
156,21,12,17,1,3,1,-3,414,374,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
